fluorescence,negCTRL,posCTRL,dose_ug,ENDO,HAPI
61512,FALSE,FALSE,0.002,TRUE,FALSE
49155,FALSE,FALSE,0.002,TRUE,FALSE
47921,FALSE,FALSE,0.002,TRUE,FALSE
39566,FALSE,FALSE,0.002,TRUE,FALSE
39359,FALSE,FALSE,0.002,TRUE,FALSE
68886,FALSE,FALSE,1,TRUE,FALSE
84696,FALSE,FALSE,1,TRUE,FALSE
83751,FALSE,FALSE,1,TRUE,FALSE
74931,FALSE,FALSE,1,TRUE,FALSE
70656,FALSE,FALSE,1,TRUE,FALSE
58197,FALSE,FALSE,1,TRUE,FALSE
50067,FALSE,FALSE,1,TRUE,FALSE
47583,FALSE,FALSE,1,TRUE,FALSE
90403,FALSE,FALSE,1,TRUE,FALSE
85061,FALSE,FALSE,1,TRUE,FALSE
67199,FALSE,FALSE,1,TRUE,FALSE
58364,FALSE,FALSE,1,TRUE,FALSE
50334,FALSE,FALSE,1,TRUE,FALSE
43801,FALSE,FALSE,1,TRUE,FALSE
43770,FALSE,FALSE,1,TRUE,FALSE
37194,FALSE,FALSE,1,TRUE,FALSE
79381,FALSE,FALSE,1,TRUE,FALSE
82318,FALSE,FALSE,1,TRUE,FALSE
80318,FALSE,FALSE,1,TRUE,FALSE
72521,FALSE,FALSE,1,TRUE,FALSE
67478,FALSE,FALSE,1,TRUE,FALSE
55608,FALSE,FALSE,1,TRUE,FALSE
55206,FALSE,FALSE,1,TRUE,FALSE
56145,FALSE,FALSE,1,TRUE,FALSE
47050,FALSE,FALSE,1,TRUE,FALSE
51550,FALSE,FALSE,1,TRUE,FALSE
45313,FALSE,FALSE,1,TRUE,FALSE
46132,FALSE,FALSE,1,TRUE,FALSE
39560,FALSE,FALSE,1,TRUE,FALSE
40069,FALSE,FALSE,1,TRUE,FALSE
32580,FALSE,FALSE,1,TRUE,FALSE
39440,FALSE,FALSE,1,TRUE,FALSE
55101,FALSE,FALSE,1,TRUE,FALSE
51471,FALSE,FALSE,1,TRUE,FALSE
39723,FALSE,FALSE,1,TRUE,FALSE
39235,FALSE,FALSE,1,TRUE,FALSE
32732,FALSE,FALSE,1,TRUE,FALSE
38255,FALSE,FALSE,1,TRUE,FALSE
25050,FALSE,FALSE,1,TRUE,FALSE
35645,FALSE,FALSE,1,TRUE,FALSE
55805,FALSE,FALSE,1,TRUE,FALSE
59011,FALSE,FALSE,1,TRUE,FALSE
49516,FALSE,FALSE,1,TRUE,FALSE
50719,FALSE,FALSE,1,TRUE,FALSE
40752,FALSE,FALSE,1,TRUE,FALSE
38959,FALSE,FALSE,1,TRUE,FALSE
35467,FALSE,FALSE,1,TRUE,FALSE
32104,FALSE,FALSE,1,TRUE,FALSE
100487,FALSE,FALSE,20,TRUE,FALSE
104115,FALSE,FALSE,20,TRUE,FALSE
100049,FALSE,FALSE,20,TRUE,FALSE
88919,FALSE,FALSE,20,TRUE,FALSE
87321,FALSE,FALSE,20,TRUE,FALSE
63579,FALSE,FALSE,20,TRUE,FALSE
67763,FALSE,FALSE,20,TRUE,FALSE
57069,FALSE,FALSE,20,TRUE,FALSE
100873,FALSE,FALSE,20,TRUE,FALSE
92323,FALSE,FALSE,20,TRUE,FALSE
89976,FALSE,FALSE,20,TRUE,FALSE
75394,FALSE,FALSE,20,TRUE,FALSE
65512,FALSE,FALSE,20,TRUE,FALSE
59387,FALSE,FALSE,20,TRUE,FALSE
51062,FALSE,FALSE,20,TRUE,FALSE
85320,FALSE,FALSE,20,TRUE,FALSE
110639,FALSE,FALSE,20,TRUE,FALSE
111988,FALSE,FALSE,20,TRUE,FALSE
104373,FALSE,FALSE,20,TRUE,FALSE
87398,FALSE,FALSE,20,TRUE,FALSE
90258,FALSE,FALSE,20,TRUE,FALSE
78204,FALSE,FALSE,20,TRUE,FALSE
76536,FALSE,FALSE,20,TRUE,FALSE
69822,FALSE,FALSE,20,TRUE,FALSE
57046,FALSE,FALSE,20,TRUE,FALSE
66864,FALSE,FALSE,20,TRUE,FALSE
59200,FALSE,FALSE,20,TRUE,FALSE
65677,FALSE,FALSE,20,TRUE,FALSE
52591,FALSE,FALSE,20,TRUE,FALSE
48078,FALSE,FALSE,20,TRUE,FALSE
44162,FALSE,FALSE,20,TRUE,FALSE
41948,FALSE,FALSE,20,TRUE,FALSE
63209,FALSE,FALSE,20,TRUE,FALSE
76102,FALSE,FALSE,20,TRUE,FALSE
53782,FALSE,FALSE,20,TRUE,FALSE
59756,FALSE,FALSE,20,TRUE,FALSE
45084,FALSE,FALSE,20,TRUE,FALSE
39020,FALSE,FALSE,20,TRUE,FALSE
34129,FALSE,FALSE,20,TRUE,FALSE
29150,FALSE,FALSE,20,TRUE,FALSE
76055,FALSE,FALSE,20,TRUE,FALSE
73060,FALSE,FALSE,20,TRUE,FALSE
69628,FALSE,FALSE,20,TRUE,FALSE
89853,FALSE,FALSE,20,TRUE,FALSE
62214,FALSE,FALSE,20,TRUE,FALSE
52935,FALSE,FALSE,20,TRUE,FALSE
49192,FALSE,FALSE,20,TRUE,FALSE
44918,FALSE,FALSE,20,TRUE,FALSE
17767,TRUE,FALSE,0,TRUE,TRUE
16452,TRUE,FALSE,0,TRUE,TRUE
24717,TRUE,FALSE,0,TRUE,TRUE
14399,TRUE,FALSE,0,TRUE,TRUE
19508,TRUE,FALSE,0,TRUE,TRUE
11032,TRUE,FALSE,0,TRUE,TRUE
9560,TRUE,FALSE,0,TRUE,TRUE
6325,TRUE,FALSE,0,TRUE,TRUE
19549,TRUE,FALSE,0,TRUE,TRUE
17919,TRUE,FALSE,0,TRUE,TRUE
20737,TRUE,FALSE,0,TRUE,TRUE
19373,TRUE,FALSE,0,TRUE,TRUE
12773,TRUE,FALSE,0,TRUE,TRUE
10592,TRUE,FALSE,0,TRUE,TRUE
10145,TRUE,FALSE,0,TRUE,TRUE
10309,TRUE,FALSE,0,TRUE,TRUE
21246,TRUE,FALSE,0,TRUE,TRUE
16243,TRUE,FALSE,0,TRUE,TRUE
15506,TRUE,FALSE,0,TRUE,TRUE
18744,TRUE,FALSE,0,TRUE,TRUE
14843,TRUE,FALSE,0,TRUE,TRUE
13980,TRUE,FALSE,0,TRUE,TRUE
12707,TRUE,FALSE,0,TRUE,TRUE
8252,TRUE,FALSE,0,TRUE,TRUE
14982,TRUE,FALSE,0,TRUE,TRUE
17299,TRUE,FALSE,0,TRUE,TRUE
12210,TRUE,FALSE,0,TRUE,TRUE
11876,TRUE,FALSE,0,TRUE,TRUE
9608,TRUE,FALSE,0,TRUE,TRUE
9947,TRUE,FALSE,0,TRUE,TRUE
21163,TRUE,FALSE,0,TRUE,TRUE
6529,TRUE,FALSE,0,TRUE,TRUE
21716,TRUE,FALSE,0,TRUE,TRUE
19178,TRUE,FALSE,0,TRUE,TRUE
15133,TRUE,FALSE,0,TRUE,TRUE
14602,TRUE,FALSE,0,TRUE,TRUE
11826,TRUE,FALSE,0,TRUE,TRUE
11652,TRUE,FALSE,0,TRUE,TRUE
10675,TRUE,FALSE,0,TRUE,TRUE
8030,TRUE,FALSE,0,TRUE,TRUE
17242,TRUE,FALSE,0,TRUE,TRUE
17079,TRUE,FALSE,0,TRUE,TRUE
19294,TRUE,FALSE,0,TRUE,TRUE
21481,TRUE,FALSE,0,TRUE,TRUE
20579,TRUE,FALSE,0,TRUE,TRUE
29757,TRUE,FALSE,0,TRUE,TRUE
13634,TRUE,FALSE,0,TRUE,TRUE
18694,TRUE,FALSE,0,TRUE,TRUE
40220,FALSE,TRUE,0,TRUE,TRUE
51618,FALSE,TRUE,0,TRUE,TRUE
46384,FALSE,TRUE,0,TRUE,TRUE
35075,FALSE,TRUE,0,TRUE,TRUE
34523,FALSE,TRUE,0,TRUE,TRUE
25673,FALSE,TRUE,0,TRUE,TRUE
26315,FALSE,TRUE,0,TRUE,TRUE
24053,FALSE,TRUE,0,TRUE,TRUE
54962,FALSE,TRUE,0,TRUE,TRUE
55636,FALSE,TRUE,0,TRUE,TRUE
53149,FALSE,TRUE,0,TRUE,TRUE
38087,FALSE,TRUE,0,TRUE,TRUE
34819,FALSE,TRUE,0,TRUE,TRUE
27509,FALSE,TRUE,0,TRUE,TRUE
23503,FALSE,TRUE,0,TRUE,TRUE
23664,FALSE,TRUE,0,TRUE,TRUE
40905,FALSE,TRUE,0,TRUE,TRUE
44725,FALSE,TRUE,0,TRUE,TRUE
41988,FALSE,TRUE,0,TRUE,TRUE
37716,FALSE,TRUE,0,TRUE,TRUE
40497,FALSE,TRUE,0,TRUE,TRUE
39006,FALSE,TRUE,0,TRUE,TRUE
39118,FALSE,TRUE,0,TRUE,TRUE
32486,FALSE,TRUE,0,TRUE,TRUE
69563,FALSE,TRUE,0,TRUE,TRUE
55988,FALSE,TRUE,0,TRUE,TRUE
47548,FALSE,TRUE,0,TRUE,TRUE
37034,FALSE,TRUE,0,TRUE,TRUE
31975,FALSE,TRUE,0,TRUE,TRUE
26013,FALSE,TRUE,0,TRUE,TRUE
24304,FALSE,TRUE,0,TRUE,TRUE
23652,FALSE,TRUE,0,TRUE,TRUE
52901,FALSE,TRUE,0,TRUE,TRUE
54165,FALSE,TRUE,0,TRUE,TRUE
55571,FALSE,TRUE,0,TRUE,TRUE
41771,FALSE,TRUE,0,TRUE,TRUE
32778,FALSE,TRUE,0,TRUE,TRUE
28513,FALSE,TRUE,0,TRUE,TRUE
25700,FALSE,TRUE,0,TRUE,TRUE
23578,FALSE,TRUE,0,TRUE,TRUE
48240,FALSE,TRUE,0,TRUE,TRUE
51538,FALSE,TRUE,0,TRUE,TRUE
46959,FALSE,TRUE,0,TRUE,TRUE
49305,FALSE,TRUE,0,TRUE,TRUE
50504,FALSE,TRUE,0,TRUE,TRUE
53450,FALSE,TRUE,0,TRUE,TRUE
54737,FALSE,TRUE,0,TRUE,TRUE
30376,FALSE,TRUE,0,TRUE,TRUE
49477,FALSE,FALSE,0,TRUE,TRUE
35673,FALSE,FALSE,0,TRUE,TRUE
53666,FALSE,FALSE,0,TRUE,TRUE
50555,FALSE,FALSE,0,TRUE,TRUE
29879,FALSE,FALSE,0,TRUE,TRUE
19862,FALSE,FALSE,0,TRUE,TRUE
18124,FALSE,FALSE,0,TRUE,TRUE
15770,FALSE,FALSE,0,TRUE,TRUE
48674,FALSE,FALSE,0,TRUE,TRUE
42122,FALSE,FALSE,0,TRUE,TRUE
49109,FALSE,FALSE,0,TRUE,TRUE
47130,FALSE,FALSE,0,TRUE,TRUE
31752,FALSE,FALSE,0,TRUE,TRUE
28048,FALSE,FALSE,0,TRUE,TRUE
23734,FALSE,FALSE,0,TRUE,TRUE
24090,FALSE,FALSE,0,TRUE,TRUE
29532,FALSE,FALSE,0,TRUE,TRUE
30957,FALSE,FALSE,0,TRUE,TRUE
35805,FALSE,FALSE,0,TRUE,TRUE
31213,FALSE,FALSE,0,TRUE,TRUE
33434,FALSE,FALSE,0,TRUE,TRUE
30366,FALSE,FALSE,0,TRUE,TRUE
32309,FALSE,FALSE,0,TRUE,TRUE
16467,FALSE,FALSE,0,TRUE,TRUE
42123,FALSE,FALSE,0,TRUE,TRUE
41505,FALSE,FALSE,0,TRUE,TRUE
36438,FALSE,FALSE,0,TRUE,TRUE
28386,FALSE,FALSE,0,TRUE,TRUE
26676,FALSE,FALSE,0,TRUE,TRUE
25043,FALSE,FALSE,0,TRUE,TRUE
21517,FALSE,FALSE,0,TRUE,TRUE
22307,FALSE,FALSE,0,TRUE,TRUE
60269,FALSE,FALSE,0,TRUE,TRUE
48124,FALSE,FALSE,0,TRUE,TRUE
39047,FALSE,FALSE,0,TRUE,TRUE
31915,FALSE,FALSE,0,TRUE,TRUE
28593,FALSE,FALSE,0,TRUE,TRUE
25769,FALSE,FALSE,0,TRUE,TRUE
25241,FALSE,FALSE,0,TRUE,TRUE
25430,FALSE,FALSE,0,TRUE,TRUE
33510,FALSE,FALSE,0,TRUE,TRUE
33489,FALSE,FALSE,0,TRUE,TRUE
36075,FALSE,FALSE,0,TRUE,TRUE
34542,FALSE,FALSE,0,TRUE,TRUE
33377,FALSE,FALSE,0,TRUE,TRUE
33184,FALSE,FALSE,0,TRUE,TRUE
32558,FALSE,FALSE,0,TRUE,TRUE
23606,FALSE,FALSE,0,TRUE,TRUE
42123,FALSE,FALSE,0.002,TRUE,TRUE
41505,FALSE,FALSE,0.002,TRUE,TRUE
36438,FALSE,FALSE,0.002,TRUE,TRUE
28386,FALSE,FALSE,0.002,TRUE,TRUE
26676,FALSE,FALSE,0.002,TRUE,TRUE
25043,FALSE,FALSE,0.002,TRUE,TRUE
21517,FALSE,FALSE,0.002,TRUE,TRUE
22307,FALSE,FALSE,0.002,TRUE,TRUE
60269,FALSE,FALSE,0.002,TRUE,TRUE
48124,FALSE,FALSE,0.002,TRUE,TRUE
39047,FALSE,FALSE,0.002,TRUE,TRUE
31915,FALSE,FALSE,0.002,TRUE,TRUE
28593,FALSE,FALSE,0.002,TRUE,TRUE
25769,FALSE,FALSE,0.002,TRUE,TRUE
25241,FALSE,FALSE,0.002,TRUE,TRUE
25430,FALSE,FALSE,0.002,TRUE,TRUE
33510,FALSE,FALSE,0.002,TRUE,TRUE
33489,FALSE,FALSE,0.002,TRUE,TRUE
36075,FALSE,FALSE,0.002,TRUE,TRUE
34542,FALSE,FALSE,0.002,TRUE,TRUE
33377,FALSE,FALSE,0.002,TRUE,TRUE
33184,FALSE,FALSE,0.002,TRUE,TRUE
32558,FALSE,FALSE,0.002,TRUE,TRUE
23606,FALSE,FALSE,0.002,TRUE,TRUE
52258,FALSE,FALSE,0.002,TRUE,TRUE
53252,FALSE,FALSE,0.002,TRUE,TRUE
41671,FALSE,FALSE,0.002,TRUE,TRUE
34244,FALSE,FALSE,0.002,TRUE,TRUE
27753,FALSE,FALSE,0.002,TRUE,TRUE
28262,FALSE,FALSE,0.002,TRUE,TRUE
23759,FALSE,FALSE,0.002,TRUE,TRUE
21690,FALSE,FALSE,0.002,TRUE,TRUE
58400,FALSE,FALSE,0.002,TRUE,TRUE
62007,FALSE,FALSE,0.002,TRUE,TRUE
50200,FALSE,FALSE,0.002,TRUE,TRUE
40503,FALSE,FALSE,0.002,TRUE,TRUE
32931,FALSE,FALSE,0.002,TRUE,TRUE
31268,FALSE,FALSE,0.002,TRUE,TRUE
27966,FALSE,FALSE,0.002,TRUE,TRUE
33326,FALSE,FALSE,0.002,TRUE,TRUE
35164,FALSE,FALSE,0.002,TRUE,TRUE
39574,FALSE,FALSE,0.002,TRUE,TRUE
39177,FALSE,FALSE,0.002,TRUE,TRUE
38971,FALSE,FALSE,0.002,TRUE,TRUE
36208,FALSE,FALSE,0.002,TRUE,TRUE
36655,FALSE,FALSE,0.002,TRUE,TRUE
32619,FALSE,FALSE,0.002,TRUE,TRUE
30907,FALSE,FALSE,0.002,TRUE,TRUE
58271,FALSE,FALSE,1,TRUE,TRUE
53341,FALSE,FALSE,1,TRUE,TRUE
49376,FALSE,FALSE,1,TRUE,TRUE
39977,FALSE,FALSE,1,TRUE,TRUE
32276,FALSE,FALSE,1,TRUE,TRUE
27178,FALSE,FALSE,1,TRUE,TRUE
24731,FALSE,FALSE,1,TRUE,TRUE
24710,FALSE,FALSE,1,TRUE,TRUE
58920,FALSE,FALSE,1,TRUE,TRUE
62738,FALSE,FALSE,1,TRUE,TRUE
57450,FALSE,FALSE,1,TRUE,TRUE
46043,FALSE,FALSE,1,TRUE,TRUE
41599,FALSE,FALSE,1,TRUE,TRUE
35717,FALSE,FALSE,1,TRUE,TRUE
34630,FALSE,FALSE,1,TRUE,TRUE
27409,FALSE,FALSE,1,TRUE,TRUE
39821,FALSE,FALSE,1,TRUE,TRUE
40237,FALSE,FALSE,1,TRUE,TRUE
49469,FALSE,FALSE,1,TRUE,TRUE
42732,FALSE,FALSE,1,TRUE,TRUE
36080,FALSE,FALSE,1,TRUE,TRUE
33981,FALSE,FALSE,1,TRUE,TRUE
34667,FALSE,FALSE,1,TRUE,TRUE
29390,FALSE,FALSE,1,TRUE,TRUE
49768,FALSE,FALSE,1,TRUE,TRUE
52937,FALSE,FALSE,1,TRUE,TRUE
39042,FALSE,FALSE,1,TRUE,TRUE
38529,FALSE,FALSE,1,TRUE,TRUE
29537,FALSE,FALSE,1,TRUE,TRUE
28707,FALSE,FALSE,1,TRUE,TRUE
23060,FALSE,FALSE,1,TRUE,TRUE
21191,FALSE,FALSE,1,TRUE,TRUE
29378,FALSE,FALSE,1,TRUE,TRUE
62267,FALSE,FALSE,1,TRUE,TRUE
44471,FALSE,FALSE,1,TRUE,TRUE
45322,FALSE,FALSE,1,TRUE,TRUE
37831,FALSE,FALSE,1,TRUE,TRUE
33044,FALSE,FALSE,1,TRUE,TRUE
26917,FALSE,FALSE,1,TRUE,TRUE
24102,FALSE,FALSE,1,TRUE,TRUE
36695,FALSE,FALSE,1,TRUE,TRUE
40613,FALSE,FALSE,1,TRUE,TRUE
39773,FALSE,FALSE,1,TRUE,TRUE
44640,FALSE,FALSE,1,TRUE,TRUE
38896,FALSE,FALSE,1,TRUE,TRUE
37815,FALSE,FALSE,1,TRUE,TRUE
33323,FALSE,FALSE,1,TRUE,TRUE
32813,FALSE,FALSE,1,TRUE,TRUE
57779,FALSE,FALSE,20,TRUE,TRUE
59187,FALSE,FALSE,20,TRUE,TRUE
47015,FALSE,FALSE,20,TRUE,TRUE
42567,FALSE,FALSE,20,TRUE,TRUE
37946,FALSE,FALSE,20,TRUE,TRUE
38475,FALSE,FALSE,20,TRUE,TRUE
35222,FALSE,FALSE,20,TRUE,TRUE
29725,FALSE,FALSE,20,TRUE,TRUE
72916,FALSE,FALSE,20,TRUE,TRUE
77544,FALSE,FALSE,20,TRUE,TRUE
59637,FALSE,FALSE,20,TRUE,TRUE
54722,FALSE,FALSE,20,TRUE,TRUE
45166,FALSE,FALSE,20,TRUE,TRUE
38120,FALSE,FALSE,20,TRUE,TRUE
33817,FALSE,FALSE,20,TRUE,TRUE
32838,FALSE,FALSE,20,TRUE,TRUE
37173,FALSE,FALSE,20,TRUE,TRUE
46485,FALSE,FALSE,20,TRUE,TRUE
45278,FALSE,FALSE,20,TRUE,TRUE
49380,FALSE,FALSE,20,TRUE,TRUE
