ENDO,MICRO,HAPI,negCTRL,posCTRL,dose_ug,fluorescence
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,52700
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,57713
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,42790
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,48596
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,42147
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,36204
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,35889
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,29204
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,54047
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,63178
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,41213
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,39967
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,33589
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,30565
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,25958
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,21195
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,65255
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,59620
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,63983
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,61512
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,49155
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,47921
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,39566
TRUE,FALSE,FALSE,FALSE,FALSE,0.002,39359
TRUE,FALSE,FALSE,FALSE,FALSE,1,68886
TRUE,FALSE,FALSE,FALSE,FALSE,1,84696
TRUE,FALSE,FALSE,FALSE,FALSE,1,83751
TRUE,FALSE,FALSE,FALSE,FALSE,1,74931
TRUE,FALSE,FALSE,FALSE,FALSE,1,70656
TRUE,FALSE,FALSE,FALSE,FALSE,1,58197
TRUE,FALSE,FALSE,FALSE,FALSE,1,50067
TRUE,FALSE,FALSE,FALSE,FALSE,1,47583
TRUE,FALSE,FALSE,FALSE,FALSE,1,90403
TRUE,FALSE,FALSE,FALSE,FALSE,1,85061
TRUE,FALSE,FALSE,FALSE,FALSE,1,67199
TRUE,FALSE,FALSE,FALSE,FALSE,1,58364
TRUE,FALSE,FALSE,FALSE,FALSE,1,50334
TRUE,FALSE,FALSE,FALSE,FALSE,1,43801
TRUE,FALSE,FALSE,FALSE,FALSE,1,43770
TRUE,FALSE,FALSE,FALSE,FALSE,1,37194
TRUE,FALSE,FALSE,FALSE,FALSE,1,79381
TRUE,FALSE,FALSE,FALSE,FALSE,1,82318
TRUE,FALSE,FALSE,FALSE,FALSE,1,80318
TRUE,FALSE,FALSE,FALSE,FALSE,1,72521
TRUE,FALSE,FALSE,FALSE,FALSE,1,67478
TRUE,FALSE,FALSE,FALSE,FALSE,1,55608
TRUE,FALSE,FALSE,FALSE,FALSE,1,55206
TRUE,FALSE,FALSE,FALSE,FALSE,1,56145
TRUE,FALSE,FALSE,FALSE,FALSE,1,47050
TRUE,FALSE,FALSE,FALSE,FALSE,1,51550
TRUE,FALSE,FALSE,FALSE,FALSE,1,45313
TRUE,FALSE,FALSE,FALSE,FALSE,1,46132
TRUE,FALSE,FALSE,FALSE,FALSE,1,39560
TRUE,FALSE,FALSE,FALSE,FALSE,1,40069
TRUE,FALSE,FALSE,FALSE,FALSE,1,32580
TRUE,FALSE,FALSE,FALSE,FALSE,1,39440
TRUE,FALSE,FALSE,FALSE,FALSE,1,55101
TRUE,FALSE,FALSE,FALSE,FALSE,1,51471
TRUE,FALSE,FALSE,FALSE,FALSE,1,39723
TRUE,FALSE,FALSE,FALSE,FALSE,1,39235
TRUE,FALSE,FALSE,FALSE,FALSE,1,32732
TRUE,FALSE,FALSE,FALSE,FALSE,1,38255
TRUE,FALSE,FALSE,FALSE,FALSE,1,25050
TRUE,FALSE,FALSE,FALSE,FALSE,1,35645
TRUE,FALSE,FALSE,FALSE,FALSE,1,55805
TRUE,FALSE,FALSE,FALSE,FALSE,1,59011
TRUE,FALSE,FALSE,FALSE,FALSE,1,49516
TRUE,FALSE,FALSE,FALSE,FALSE,1,50719
TRUE,FALSE,FALSE,FALSE,FALSE,1,40752
TRUE,FALSE,FALSE,FALSE,FALSE,1,38959
TRUE,FALSE,FALSE,FALSE,FALSE,1,35467
TRUE,FALSE,FALSE,FALSE,FALSE,1,32104
TRUE,FALSE,FALSE,FALSE,FALSE,20,100487
TRUE,FALSE,FALSE,FALSE,FALSE,20,104115
TRUE,FALSE,FALSE,FALSE,FALSE,20,100049
TRUE,FALSE,FALSE,FALSE,FALSE,20,88919
TRUE,FALSE,FALSE,FALSE,FALSE,20,87321
TRUE,FALSE,FALSE,FALSE,FALSE,20,63579
TRUE,FALSE,FALSE,FALSE,FALSE,20,67763
TRUE,FALSE,FALSE,FALSE,FALSE,20,57069
TRUE,FALSE,FALSE,FALSE,FALSE,20,100873
TRUE,FALSE,FALSE,FALSE,FALSE,20,92323
TRUE,FALSE,FALSE,FALSE,FALSE,20,89976
TRUE,FALSE,FALSE,FALSE,FALSE,20,75394
TRUE,FALSE,FALSE,FALSE,FALSE,20,65512
TRUE,FALSE,FALSE,FALSE,FALSE,20,59387
TRUE,FALSE,FALSE,FALSE,FALSE,20,51062
TRUE,FALSE,FALSE,FALSE,FALSE,20,85320
TRUE,FALSE,FALSE,FALSE,FALSE,20,110639
TRUE,FALSE,FALSE,FALSE,FALSE,20,111988
TRUE,FALSE,FALSE,FALSE,FALSE,20,104373
TRUE,FALSE,FALSE,FALSE,FALSE,20,87398
TRUE,FALSE,FALSE,FALSE,FALSE,20,90258
TRUE,FALSE,FALSE,FALSE,FALSE,20,78204
TRUE,FALSE,FALSE,FALSE,FALSE,20,76536
TRUE,FALSE,FALSE,FALSE,FALSE,20,69822
TRUE,FALSE,FALSE,FALSE,FALSE,20,57046
TRUE,FALSE,FALSE,FALSE,FALSE,20,66864
TRUE,FALSE,FALSE,FALSE,FALSE,20,59200
TRUE,FALSE,FALSE,FALSE,FALSE,20,65677
TRUE,FALSE,FALSE,FALSE,FALSE,20,52591
TRUE,FALSE,FALSE,FALSE,FALSE,20,48078
TRUE,FALSE,FALSE,FALSE,FALSE,20,44162
TRUE,FALSE,FALSE,FALSE,FALSE,20,41948
TRUE,FALSE,FALSE,FALSE,FALSE,20,63209
TRUE,FALSE,FALSE,FALSE,FALSE,20,76102
TRUE,FALSE,FALSE,FALSE,FALSE,20,53782
TRUE,FALSE,FALSE,FALSE,FALSE,20,59756
TRUE,FALSE,FALSE,FALSE,FALSE,20,45084
TRUE,FALSE,FALSE,FALSE,FALSE,20,39020
TRUE,FALSE,FALSE,FALSE,FALSE,20,34129
TRUE,FALSE,FALSE,FALSE,FALSE,20,29150
TRUE,FALSE,FALSE,FALSE,FALSE,20,76055
TRUE,FALSE,FALSE,FALSE,FALSE,20,73060
TRUE,FALSE,FALSE,FALSE,FALSE,20,69628
TRUE,FALSE,FALSE,FALSE,FALSE,20,89853
TRUE,FALSE,FALSE,FALSE,FALSE,20,62214
TRUE,FALSE,FALSE,FALSE,FALSE,20,52935
TRUE,FALSE,FALSE,FALSE,FALSE,20,49192
TRUE,FALSE,FALSE,FALSE,FALSE,20,44918
TRUE,FALSE,TRUE,TRUE,FALSE,0,17767
TRUE,FALSE,TRUE,TRUE,FALSE,0,16452
TRUE,FALSE,TRUE,TRUE,FALSE,0,24717
TRUE,FALSE,TRUE,TRUE,FALSE,0,14399
TRUE,FALSE,TRUE,TRUE,FALSE,0,19508
TRUE,FALSE,TRUE,TRUE,FALSE,0,11032
TRUE,FALSE,TRUE,TRUE,FALSE,0,9560
TRUE,FALSE,TRUE,TRUE,FALSE,0,6325
TRUE,FALSE,TRUE,TRUE,FALSE,0,19549
TRUE,FALSE,TRUE,TRUE,FALSE,0,17919
TRUE,FALSE,TRUE,TRUE,FALSE,0,20737
TRUE,FALSE,TRUE,TRUE,FALSE,0,19373
TRUE,FALSE,TRUE,TRUE,FALSE,0,12773
TRUE,FALSE,TRUE,TRUE,FALSE,0,10592
TRUE,FALSE,TRUE,TRUE,FALSE,0,10145
TRUE,FALSE,TRUE,TRUE,FALSE,0,10309
TRUE,FALSE,TRUE,TRUE,FALSE,0,21246
TRUE,FALSE,TRUE,TRUE,FALSE,0,16243
TRUE,FALSE,TRUE,TRUE,FALSE,0,15506
TRUE,FALSE,TRUE,TRUE,FALSE,0,18744
TRUE,FALSE,TRUE,TRUE,FALSE,0,14843
TRUE,FALSE,TRUE,TRUE,FALSE,0,13980
TRUE,FALSE,TRUE,TRUE,FALSE,0,12707
TRUE,FALSE,TRUE,TRUE,FALSE,0,8252
TRUE,FALSE,TRUE,TRUE,FALSE,0,14982
TRUE,FALSE,TRUE,TRUE,FALSE,0,17299
TRUE,FALSE,TRUE,TRUE,FALSE,0,12210
TRUE,FALSE,TRUE,TRUE,FALSE,0,11876
TRUE,FALSE,TRUE,TRUE,FALSE,0,9608
