Group,LDH
MIXED.ENDO-MICRO 0.002,0.537
MIXED.ENDO-MICRO 0.002,0.539
MIXED.ENDO-MICRO 0.002,0.475
MIXED.ENDO-MICRO 0.002,0.421
MIXED.ENDO-MICRO 0.002,0.442
MIXED.ENDO-MICRO 0.002,0.45
MIXED.ENDO-MICRO 0.002,0.415
MIXED.ENDO-MICRO 0.002,0.421
MIXED.ENDO-MICRO 0.002,0.519
MIXED.ENDO-MICRO 0.002,0.49
MIXED.ENDO-MICRO 0.002,0.424
MIXED.ENDO-MICRO 0.002,0.459
MIXED.ENDO-MICRO 0.002,0.487
MIXED.ENDO-MICRO 0.002,0.451
MIXED.ENDO-MICRO 0.002,0.458
MIXED.ENDO-MICRO 0.002,0.499
MIXED.ENDO-MICRO 0.002,0.509
MIXED.ENDO-MICRO 0.002,0.492
MIXED.ENDO-MICRO 0.002,0.53
MIXED.ENDO-MICRO 0.002,0.436
MIXED.ENDO-MICRO 0.002,0.381
MIXED.ENDO-MICRO 0.002,0.379
MIXED.ENDO-MICRO 0.002,0.463
MIXED.ENDO-MICRO 0.002,0.433
MIXED.ENDO-MICRO 0.002,0.403
MIXED.ENDO-MICRO 0.002,0.43
MIXED.ENDO-MICRO 0.002,0.423
MIXED.ENDO-MICRO 0.002,0.376
MIXED.ENDO-MICRO 0.002,0.413
MIXED.ENDO-MICRO 0.002,0.442
MIXED.ENDO-MICRO 0.002,0.444
MIXED.ENDO-MICRO 0.002,0.426
MIXED.ENDO-MICRO 0.002,0.422
MIXED.ENDO-MICRO 0.002,0.419
MIXED.ENDO-MICRO 0.002,0.458
MIXED.ENDO-MICRO 0.002,0.374
MIXED.ENDO-MICRO 0.002,0.409
MIXED.ENDO-MICRO 0.002,0.436
MIXED.ENDO-MICRO 0.002,0.419
MIXED.ENDO-MICRO 0.002,0.455
MIXED.ENDO-MICRO 0.002,0.441
MIXED.ENDO-MICRO 0.002,0.404
MIXED.ENDO-MICRO 0.002,0.493
MIXED.ENDO-MICRO 1,0.566
MIXED.ENDO-MICRO 1,0.519
MIXED.ENDO-MICRO 1,0.516
MIXED.ENDO-MICRO 1,0.541
MIXED.ENDO-MICRO 1,0.539
MIXED.ENDO-MICRO 1,0.519
MIXED.ENDO-MICRO 1,0.52
MIXED.ENDO-MICRO 1,0.553
MIXED.ENDO-MICRO 1,0.506
MIXED.ENDO-MICRO 1,0.513
MIXED.ENDO-MICRO 1,0.505
MIXED.ENDO-MICRO 1,0.511
MIXED.ENDO-MICRO 1,0.563
MIXED.ENDO-MICRO 1,0.557
MIXED.ENDO-MICRO 1,0.531
MIXED.ENDO-MICRO 1,0.582
MIXED.ENDO-MICRO 1,0.544
MIXED.ENDO-MICRO 1,0.491
MIXED.ENDO-MICRO 1,0.48
MIXED.ENDO-MICRO 1,0.513
MIXED.ENDO-MICRO 1,0.554
MIXED.ENDO-MICRO 1,0.521
MIXED.ENDO-MICRO 1,0.508
MIXED.ENDO-MICRO 1,0.528
MIXED.ENDO-MICRO 1,0.583
MIXED.ENDO-MICRO 1,0.496
MIXED.ENDO-MICRO 1,0.513
MIXED.ENDO-MICRO 1,0.537
MIXED.ENDO-MICRO 1,0.532
MIXED.ENDO-MICRO 1,0.568
MIXED.ENDO-MICRO 1,0.537
MIXED.ENDO-MICRO 1,0.554
MIXED.ENDO-MICRO 1,0.536
MIXED.ENDO-MICRO 1,0.476
MIXED.ENDO-MICRO 1,0.483
