Group,ROS
MIXED.ENDO-MICRO 0.002,13644
MIXED.ENDO-MICRO 0.002,12980
MIXED.ENDO-MICRO 0.002,12069
MIXED.ENDO-MICRO 0.002,11567
MIXED.ENDO-MICRO 0.002,11134
MIXED.ENDO-MICRO 0.002,10574
MIXED.ENDO-MICRO 0.002,16713
MIXED.ENDO-MICRO 0.002,16063
MIXED.ENDO-MICRO 0.002,16115
MIXED.ENDO-MICRO 0.002,17001
MIXED.ENDO-MICRO 0.002,15506
MIXED.ENDO-MICRO 0.002,15342
MIXED.ENDO-MICRO 0.002,15522
MIXED.ENDO-MICRO 0.002,14061
MIXED.ENDO-MICRO 1,12082
MIXED.ENDO-MICRO 1,11935
MIXED.ENDO-MICRO 1,10532
MIXED.ENDO-MICRO 1,11010
MIXED.ENDO-MICRO 1,9346
MIXED.ENDO-MICRO 1,9451
MIXED.ENDO-MICRO 1,9452
MIXED.ENDO-MICRO 1,9043
MIXED.ENDO-MICRO 1,13341
MIXED.ENDO-MICRO 1,19988
MIXED.ENDO-MICRO 1,13734
MIXED.ENDO-MICRO 1,14071
MIXED.ENDO-MICRO 1,13769
MIXED.ENDO-MICRO 1,12557
MIXED.ENDO-MICRO 1,14669
MIXED.ENDO-MICRO 1,12014
MIXED.ENDO-MICRO 1,13091
MIXED.ENDO-MICRO 1,13074
MIXED.ENDO-MICRO 1,12302
MIXED.ENDO-MICRO 1,12534
MIXED.ENDO-MICRO 1,12654
MIXED.ENDO-MICRO 1,12116
MIXED.ENDO-MICRO 1,10186
MIXED.ENDO-MICRO 1,12606
MIXED.ENDO-MICRO 1,16610
MIXED.ENDO-MICRO 1,15836
MIXED.ENDO-MICRO 1,16549
MIXED.ENDO-MICRO 1,13655
MIXED.ENDO-MICRO 1,13470
MIXED.ENDO-MICRO 1,13179
MIXED.ENDO-MICRO 1,12771
MIXED.ENDO-MICRO 1,11375
MIXED.ENDO-MICRO 1,15833
MIXED.ENDO-MICRO 1,15353
MIXED.ENDO-MICRO 1,17562
MIXED.ENDO-MICRO 1,15018
MIXED.ENDO-MICRO 1,14881
MIXED.ENDO-MICRO 1,15491
MIXED.ENDO-MICRO 1,14589
MIXED.ENDO-MICRO 1,11665
MIXED.ENDO-MICRO 1,16600
MIXED.ENDO-MICRO 1,15098
MIXED.ENDO-MICRO 1,16078
MIXED.ENDO-MICRO 1,16378
MIXED.ENDO-MICRO 1,16960
MIXED.ENDO-MICRO 1,16761
MIXED.ENDO-MICRO 1,16175
MIXED.ENDO-MICRO 1,15917
MIXED.ENDO-MICRO 20,16087
MIXED.ENDO-MICRO 20,16238
MIXED.ENDO-MICRO 20,17710
MIXED.ENDO-MICRO 20,16100
MIXED.ENDO-MICRO 20,15990
MIXED.ENDO-MICRO 20,17938
MIXED.ENDO-MICRO 20,14270
MIXED.ENDO-MICRO 20,15086
MIXED.ENDO-MICRO 20,15743
MIXED.ENDO-MICRO 20,15665
MIXED.ENDO-MICRO 20,17154
MIXED.ENDO-MICRO 20,14358
MIXED.ENDO-MICRO 20,14738
MIXED.ENDO-MICRO 20,12802
MIXED.ENDO-MICRO 20,14076
MIXED.ENDO-MICRO 20,12288
MIXED.ENDO-MICRO 20,19624
MIXED.ENDO-MICRO 20,20428
MIXED.ENDO-MICRO 20,21513
MIXED.ENDO-MICRO 20,23215
MIXED.ENDO-MICRO 20,20446
MIXED.ENDO-MICRO 20,19996
MIXED.ENDO-MICRO 20,19466
MIXED.ENDO-MICRO 20,17703
MIXED.ENDO-MICRO 20,20266
MIXED.ENDO-MICRO 20,20772
MIXED.ENDO-MICRO 20,19484
MIXED.ENDO-MICRO 20,21951
MIXED.ENDO-MICRO 20,18918
MIXED.ENDO-MICRO 20,18930
MIXED.ENDO-MICRO 20,17123
MIXED.ENDO-MICRO 20,13710
MIXED.ENDO-MICRO 20,21439
MIXED.ENDO-MICRO 20,23716
MIXED.ENDO-MICRO 20,23640
MIXED.ENDO-MICRO 20,24357
MIXED.ENDO-MICRO 20,21788
MIXED.ENDO-MICRO 20,21580
MIXED.ENDO-MICRO 20,16804
MIXED.ENDO-MICRO 20,15497
MIXED.ENDO-MICRO 20,23902
