Group,G-CSF,Eotaxin,GM-CSF,IL-1a,Leptin,MIP-1a,lL-4,IL-1b,IL-2,IL-6,EGF,IL-13,IL-10,IL-12p70,IFN-y,IL-5,IL-17A,IL-18,MCP-1,IP-10,GRO/KC/CINC-1,VEGF,Fractalkine,LIX,MIP-2,TNF-a,RANTES
Endothelial 0,0.9035754065700855,29.373808278077238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.915719289656636,0.0,0.0,0.0,0.0,0.0,491.9608955120862,0.0,0.0,252.53617139072634,0.0,58.67985433822096,0.0,0.0,0.0
Endothelial 0,1.7963230154815604,24.36094550209116,58.88851848196127,0.0,0.0,4.183244919205752,0.0,1.6147928896361194,0.0,0.0,0.0,0.0,0.0,0.0,402.73937003406485,0.0,0.0,0.0,0.0,125.13593954810591,0.0,245.53135067142716,2.0205102925963927,38.69307127881702,0.0,0.0,0.0
Endothelial 0,19.312555029017446,12.851903741967082,71.71921416615562,0.0,0.0,0.0,0.0,123.71194746315463,0.0,0.0,0.0,9.38355589747508,0.0,0.0,156.93617090310892,28.37964160136236,0.0,0.0,0.0,226.55603794906736,0.0,254.52990426084108,0.7049303904479471,41.08632315719941,0.0,0.21274505316559705,2.04260050438482
Endothelial 0,4.679772574491581,21.60806754584244,0.0,0.0,9.779222634849688,2.3108903250541113,0.0,0.0,0.0,0.0,0.0,13.066389375023041,0.0,0.0,0.0,41.107762682281376,0.0,0.0,0.0,189.2465769080028,0.0,274.29046595806534,0.0,106.0004139752734,0.0,0.0,0.0
Endothelial 0,3.0631210984036605,8.467478997881107,0.0,0.0,0.0,0.0,2.519374176847369,0.0,0.0,0.0,0.0,9.38355589747508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.87521298597403,600.5952532315622,358.982087877389,0.0,35.41014751630932,43.814255682150424,0.0,1.1260425415674562
Endothelial 0,2.2257612543948238,15.318446982418033,0.0,0.0,0.0,0.0,24.826474067091894,0.0,0.0,0.0,15.118220510297904,0.0,0.0,0.0,0.0,141.79670592750944,0.0,0.0,0.0,214.914505601694,0.0,227.31694620083377,0.0,57.29759867402832,0.0,0.0,0.0
Endothelial 0,3.47348365392837,15.318446982418033,0.0,0.0,146.10997815921465,3.3465289484621104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.06119535088562,649.0156696813978,411.9424748412301,0.0,32.005577985148804,0.0,0.0,0.0
Endothelial 0,0.0,16.464752915628065,68.56635551583872,0.0,0.0,7.256807959120407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.80033653277519,0.0,385.64949375136814,0.0,51.63375549510896,0.0,0.0,0.0
Endothelial 0,2.2257612543948238,18.62464134949013,127.01190992693968,71.53054358504966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.06456565177497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.1673541489782,0.0,264.44945531167247,0.0,47.97056000522292,0.0,0.0,3.3637415468738334
Endothelial 0,0.9035754065700855,18.62464134949013,0.0,0.0,0.0,0.0,0.0,14.895004645898988,0.0,0.0,0.6781282876430073,29.581850533938265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.25919578475407,479.05114755813264,342.22295687163,0.0,55.19988625556272,0.0,0.0,0.5430221177545971
